feature_set,model,cv_auc,val_auc,test_auc,test_recall,test_prec,test_f1,test_acc
intake-only,Logistic Regression,0.8822535087906855,0.8835978835978836,0.9154161474980588,0.8359788359788359,0.7939698492462312,0.8144329896907216,0.8506224066390041
intake-only,Random Forest,0.8803322611276032,0.8837423479061703,0.9072539140798526,0.8148148148148148,0.7979274611398963,0.806282722513089,0.8464730290456431
intake-only,XGBoost,0.8753494083994827,0.8757065207577153,0.8989833324304315,0.7777777777777778,0.7736842105263158,0.7757255936675461,0.8236514522821576
intake-only,LightGBM,0.8753115097680855,0.8739187749426657,0.8965816133051628,0.798941798941799,0.7626262626262627,0.7803617571059431,0.8236514522821576
intake-only,Decision Tree,0.8120979669669822,0.8234375282156852,0.8616483377575528,0.8571428571428571,0.7297297297297297,0.7883211678832117,0.8195020746887967
intake+early,Logistic Regression,0.8956798516994298,0.889882081008361,0.932228181374939,0.873015873015873,0.8048780487804879,0.8375634517766497,0.8672199170124482
intake+early,Random Forest,0.899678262580341,0.8936742691008903,0.9257092294634958,0.8465608465608465,0.8,0.8226221079691517,0.8568464730290456
intake+early,XGBoost,0.895269056362555,0.8989291583148238,0.9209057912129586,0.783068783068783,0.783068783068783,0.783068783068783,0.8298755186721992
intake+early,LightGBM,0.8954785161159651,0.8887083085035303,0.9109377539411669,0.798941798941799,0.7704081632653061,0.7844155844155845,0.8278008298755186
intake+early,Decision Tree,0.850246550267814,0.8204579518572692,0.8626325008577569,0.8148148148148148,0.7777777777777778,0.7958656330749354,0.8360995850622407
